index,problem_id,problem_dir,gurobi_status,obj_value,ground_truth,correct,error
0,NL4LP_0,0,2,684000.0,684000.0,1,
1,NL4LP_1,1,2,60.0,60.0,1,
2,NL4LP_3,3,2,819.0,819.0,1,
3,NL4LP_4,4,2,28250.0,28250.0,1,
4,NL4LP_6,6,2,224.0,224.0,1,
5,NL4LP_7,7,2,327.6595744680851,327.6595744680851,1,
6,NL4LP_9,9,2,14.0,14.0,1,
7,NL4LP_10,10,2,9000.0,9000.0,1,
8,NL4LP_11,11,2,480.0,480.0,1,
9,NL4LP_12,12,2,500.0,500.0,1,
10,NL4LP_14,14,2,80000.0,80000.0,1,
11,NL4LP_15,15,2,7.0,7.0,1,
12,NL4LP_16,16,2,310.0,310.0,1,
13,NL4LP_17,17,2,2400.0,2400.0,1,
14,NL4LP_18,18,2,511.4285714285714,511.4285714285714,1,
15,NL4LP_19,19,2,7000.0,7000.0,1,
16,NL4LP_20,20,2,80000.0,80000.0,1,
17,NL4LP_21,21,2,81000.0,81000.0,1,
18,NL4LP_22,22,2,40.0,40.0,1,
19,NL4LP_23,23,2,5.851851851851852,5.851851851851852,1,
20,NL4LP_26,26,2,650.0,650.0,1,
21,NL4LP_28,28,2,4400.0,4400.0,1,
22,NL4LP_30,30,2,215000.0,215000.0,1,
23,NL4LP_32,32,2,22.0,22.0,1,
24,NL4LP_33,33,2,400000.0,400000.0,1,
25,NL4LP_35,35,2,30.0,30.0,1,
26,NL4LP_37,37,2,1500.0,1500.0,1,
27,NL4LP_38,38,2,206250.0,206250.0,1,
28,NL4LP_40,40,2,22.0,22.0,1,
29,NL4LP_41,41,2,8.0,8.0,1,
30,NL4LP_42,42,2,750.0,750.0,1,
31,NL4LP_43,43,2,26.0,26.0,1,
32,NL4LP_44,44,2,1800.0,1800.0,1,
33,NL4LP_46,46,2,20.0,20.0,1,
34,NL4LP_47,47,2,70.0,70.0,1,
35,NL4LP_49,49,2,44.0,44.0,1,
36,NL4LP_51,51,2,25.0,25.0,1,
37,NL4LP_52,52,2,7.0,7.0,1,
38,NL4LP_53,53,2,950.0,950.0,1,
39,NL4LP_54,54,2,1125.0,1125.0,1,
40,NL4LP_55,55,2,0.0,0.0,1,
41,NL4LP_58,58,2,26.0,26.000000000000007,1,
42,NL4LP_60,60,2,67.0,67.0,1,
43,NL4LP_61,61,2,12.0,12.0,1,
44,NL4LP_62,62,2,60.0,60.0,1,
45,NL4LP_64,64,2,17000.0,17000.0,1,
46,NL4LP_65,65,ERROR,,0.0,0,PermissionDeniedError: Error code: 403
47,NL4LP_66,66,ERROR,,8.0,0,ValueError: Unknown constraint sense '>' in single_more_than_dual.
48,NL4LP_68,68,2,20.0,20.0,1,
49,NL4LP_69,69,2,40.0,40.0,1,
50,NL4LP_70,70,2,17.0,17.0,1,
51,NL4LP_71,71,2,8.0,8.0,1,
52,NL4LP_72,72,2,22.0,22.0,1,
53,NL4LP_75,75,2,0.0,0.0,1,
54,NL4LP_77,77,2,363.0,363.0,1,
55,NL4LP_79,79,2,100.0,100.0,1,
56,NL4LP_80,80,2,28.0,28.0,1,
57,NL4LP_81,81,2,5.0,5.0,1,
58,NL4LP_84,84,2,30.0,30.0,1,
59,NL4LP_85,85,2,0.0,0.0,1,
60,NL4LP_86,86,ERROR,,7.0,0,ValueError: Unknown constraint sense '<' in regular_less_than_premium.
61,NL4LP_87,87,2,142.0,142.0,1,
62,NL4LP_89,89,2,2.3,2.3,1,
63,NL4LP_91,91,2,45.0,45.0,1,
64,NL4LP_92,92,2,810.0,810.0,1,
65,NL4LP_93,93,2,582.0,582.0,1,
66,NL4LP_96,96,2,118.0,118.0,1,
67,NL4LP_97,97,2,2650.0,2650.0,1,
68,NL4LP_98,98,2,1999.0,1500.0,0,
69,NL4LP_99,99,2,2.4,2.4,1,
70,NL4LP_101,101,2,125.0,125.0,1,
71,NL4LP_106,106,2,160.0,160.0,1,
72,NL4LP_107,107,2,226.0,226.0,1,
73,NL4LP_108,108,2,5625.0,5625.0,1,
74,NL4LP_109,109,2,1.5,1.5,1,
75,NL4LP_110,110,2,750.0,750.0,1,
76,NL4LP_111,111,2,200.0,200.0,1,
77,NL4LP_118,118,2,4347.0,4347.0,1,
78,NL4LP_120,120,2,440.0,440.0,1,
79,NL4LP_121,121,2,60.0,60.0,1,
80,NL4LP_123,123,2,2000.0,2000.0,1,
81,NL4LP_124,124,2,233.5,233.5,1,
82,NL4LP_126,126,2,105.0,105.0,1,
83,NL4LP_128,128,2,790.0,790.0,1,
84,NL4LP_129,129,2,1.5,1.5,1,
85,NL4LP_132,132,2,350.0,350.0,1,
86,NL4LP_135,135,2,390.0,390.0,1,
87,NL4LP_136,136,ERROR,,800.0,0,ValueError: Unknown constraint sense '>' in beam_greater_than_truss.
88,NL4LP_137,137,2,571.0,571.0,1,
89,NL4LP_138,138,ERROR,,24.0,0,ValueError: Unknown constraint sense '>' in van_trips_greater_than_truck_trips.
90,NL4LP_139,139,2,1990.0,1990.0,1,
91,NL4LP_140,140,2,6300.0,6300.0,1,
92,NL4LP_141,141,2,1160.0,1160.0,1,
93,NL4LP_142,142,2,2200.0,2200.0,1,
94,NL4LP_143,143,2,2480.0,2480.0,1,
95,NL4LP_144,144,2,71.0,71.0,1,
96,NL4LP_145,145,2,14.0,14.0,1,
97,NL4LP_146,146,2,60.0,60.0,1,
98,NL4LP_147,147,2,20.0,20.0,1,
99,NL4LP_148,148,2,75.0,75.0,1,
100,NL4LP_149,149,2,465.0,465.0,1,
101,NL4LP_150,150,2,580.0,580.0,1,
102,NL4LP_152,152,2,120.0,120.0,1,
103,NL4LP_153,153,2,1760.0,1760.0,1,
104,NL4LP_154,154,2,513.0,513.0,1,
105,NL4LP_155,155,ERROR,,16.0,0,ValueError: Unknown constraint sense '<' in pollution_constraint.
106,NL4LP_156,156,2,67.0,67.0,1,
107,NL4LP_159,159,2,4190.0,4190.0,1,
108,NL4LP_160,160,2,600.0,600.0,1,
109,NL4LP_161,161,2,33.5,33.5,1,
110,NL4LP_162,162,ERROR,,160.0,0,ValueError: Unknown constraint sense '>' in vans_exceed_minibuses.
111,NL4LP_163,163,2,1215.0,1215.0,1,
112,NL4LP_164,164,2,342.0,342.0,1,
113,NL4LP_165,165,2,800.0,800.0,1,
114,NL4LP_166,166,2,19.0,19.0,1,
115,NL4LP_167,167,2,80.0,80.0,1,
116,NL4LP_168,168,2,26.0,26.0,1,
117,NL4LP_169,169,2,1480.0,1480.0,1,
118,NL4LP_171,171,2,430.0,430.0,1,
119,NL4LP_172,172,2,175.0,175.0,1,
120,NL4LP_173,173,2,960.0,960.0,1,
121,NL4LP_174,174,2,2500.0,2500.0,1,
122,NL4LP_175,175,2,29.0,29.0,1,
123,NL4LP_176,176,2,32.0,32.0,1,
124,NL4LP_179,179,2,16500.0,16500.0,1,
125,NL4LP_181,181,2,24.0,24.0,1,
126,NL4LP_182,182,2,670.0,670.0,1,
127,NL4LP_184,184,2,841.0,841.0,1,
128,NL4LP_185,185,2,9.0,9.0,1,
129,NL4LP_186,186,2,89.0,89.0,1,
130,NL4LP_188,188,2,23.5,22.75,0,
131,NL4LP_192,192,2,375.0,375.0,1,
132,NL4LP_194,194,2,20.0,17.71428571428571,0,
133,NL4LP_195,195,2,1520.0,890.0,0,
134,NL4LP_198,198,2,70.0,70.0,1,
135,NL4LP_199,199,2,37083.333333333336,37083.333333333336,1,
136,NL4LP_200,200,2,150000.0,150000.0,1,
137,NL4LP_201,201,2,16.0,16.0,1,
138,NL4LP_202,202,2,91140.0,85500.0,0,
139,NL4LP_205,205,2,648.0,648.0,1,
140,NL4LP_207,207,2,217.0,217.0,1,
141,NL4LP_208,208,2,4990.0,4990.0,1,
142,NL4LP_209,209,2,14000.0,14000.0,1,
143,NL4LP_210,210,2,256500.0,256500.0,1,
144,NL4LP_211,211,2,1070.0,1070.0,1,
145,NL4LP_212,212,2,46000.0,46000.0,1,
146,NL4LP_214,214,2,52.0,52.0,1,
147,NL4LP_216,216,2,300.0,300.0,1,
148,NL4LP_217,217,2,25.0,25.0,1,
149,NL4LP_220,220,2,670.0,670.0,1,
150,NL4LP_221,221,2,1080.0,1080.0,1,
151,NL4LP_222,222,2,25.0,25.0,1,
152,NL4LP_224,224,2,291.4,291.4,1,
153,NL4LP_225,225,2,1965.0,1965.0,1,
154,NL4LP_226,226,2,65.0,65.0,1,
155,NL4LP_227,227,2,10060.0,10060.0,1,
156,NL4LP_228,228,2,30.0,30.0,1,
157,NL4LP_230,230,2,330.0,330.0,1,
158,NL4LP_232,232,2,0.0,0.0,1,
159,NL4LP_233,233,2,72.0,72.0,1,
160,NL4LP_234,234,2,260.0,260.0,1,
161,NL4LP_238,238,3,,6.0,0,
162,NL4LP_240,240,2,48.0,48.0,1,
163,NL4LP_241,241,2,35.0,35.0,1,
164,NL4LP_242,242,2,26.0,26.0,1,
165,NL4LP_244,244,ERROR,,84.0,0,ValueError: Unknown constraint sense '<' in max_automatic_electric_jacks.
166,NL4LP_245,245,2,11.0,11.0,1,
167,NL4LP_246,246,2,98.0,100.34482758620689,0,
168,NL4LP_247,247,2,2250.0,2250.0,1,
169,NL4LP_248,248,2,100.0,100.0,1,
170,NL4LP_251,251,2,610.0,610.0,1,
171,NL4LP_252,252,2,316.0,316.0,1,
172,NL4LP_253,253,2,16666.666666666664,16666.666666666664,1,
173,NL4LP_254,254,2,29.0,29.0,1,
174,NL4LP_257,257,2,0.0,0.0,1,
175,NL4LP_259,259,2,32.0,32.0,1,
176,NL4LP_261,261,2,214.0,214.0,1,
177,NL4LP_267,267,2,19.0,19.0,1,
